lưu ý,tiến độ,name,related diseases,product names
,x,codeine,"Đau mức độ trung bình, Ho khan, Ho do kích ứng","Viên nén Efferalgan Codeine (paracetamol 500mg, codeine 30mg/1 viên), viên nén bao đường Neo-Codion (codeine base 14,93mg/viên), Viên nén Terpin Codein (terpin hydrat 100mg, codeine 15mg/1 viên)"
,x,dextromethorphan,"Ho khan, Ho do kích ứng","Viên nén Atussin (10mg/1 viên), Siro Atussin (5mg/5ml siro), Viên nén Glotadol Flu (15mg/1 viên), Viên nén bao phim Ameflu (15mg/1 viên), Viên nén bao phim Hapacol CF (10mg/1 viên), Viên nén bao phim Ravonol (15mg/1 viên)"
? - lưu ở nhóm thuốc ho,x,hydrocodone,"Đau vừa đến nặng, Đau mãn tính, Đau cấp tính, Đau sau phẫu thuật, Đau do ung thư, Đau do chấn thương","Viên nén Vicodin (hydrocodone 5mg/acetaminophen 500mg), Viên nén Norco (hydrocodone 5mg/acetaminophen 325mg), Viên nén Lortab (hydrocodone 7.5-10mg/acetaminophen 325mg), Viên nang giải phóng kéo dài Zohydro ER (hydrocodone 15-20-30-50mg), Viên nén giải phóng kéo dài Hysingla ER (hydrocodone 20-30-40-60-80mg)"
,x,opium derivatives and expectorants,"Ho khan, Ho có đờm, Ho do cảm lạnh, Ho do viêm họng, Ho do viêm phế quản cấp, Giảm kích ứng đường hô hấp","Viên nén Terpin-Codein (Terpin hydrate 100mg, Codeine 5-10-15mg/1 viên), Viên nén bao đường Neo-Codion (Codeine base 14.93mg/1 viên), viên nang mềm Codepect (Codein phosphat - 10mg), viên nang mềm Cezil Cough (Cetirizin (Guaifenesin - 100 mg; Dextromethorphan hydrobromid - 15 mg)"
,x,celecoxib,"Viêm xương khớp, Viêm khớp dạng thấp, Viêm cột sống dính khớp, Đau cấp tính, Đau bụng kinh nguyên phát","Viên nang cứng Celebrex (200mg/1 viên), Viên nang Celcoxx (100-200mg/1 viên), Viên nang Celecoxib 200mg (200mg/1 viên)"
,x,flurbiprofen,"Đau họng, Viêm họng, Đau răng, Đau đầu, Đau cơ, Đau khớp, Viêm khớp dạng thấp, Viêm xương khớp, Viêm cột sống dính khớp, Đau bụng kinh, Đau sau phẫu thuật, Viêm gân, Viêm bao hoạt dịch, Viêm mắt sau phẫu thuật đục thủy tinh thể","Kẹo ngậm StrepsilsMaxpro (8.75mg/1 viên ngậm), Kẹo ngậm Strefen (8.75mg/1 viên ngậm), Viên nén Froben (50mg/1 viên), Viên nén Froben (100mg/1 viên), Viên nén Ansaid (100mg/1 viên), Thuốc nhỏ mắt Ocufen (0.12mg/0.4ml)"
,x,ibuprofen,"Đau đầu, Sốt, Đau cơ, Đau khớp, Viêm khớp dạng thấp, Viêm xương khớp, Đau bụng kinh, Đau răng, Đau lưng, Bong gân, Căng cơ, Viêm bao hoạt dịch, Viêm gân, Đau sau phẫu thuật, Đau do chấn thương","Viên nén bao phim Ibuprofen (200-400-600mg/1 viên), Hỗn dịch uống Brufen (100mg/5ml), Viên nang mềm Gofen 400 clearcap (400mg/1 viên)"
,x,lornoxicam,"Đau xương khớp, Viêm khớp dạng thấp, Đau cấp tính, Đau sau phẫu thuật, Đau lưng, Đau thần kinh tọa, Đau răng, Đau bụng kinh","Viên nén bao phim Livorax-8 (8mg/1 viên), Viên nén bao phim Vocfor (8mg/1 viên), Viên nén Lornoxicam tablets 8mg (8mg/1 viên), Viên nén Lornoxi-8 (8mg/1 viên), Viên nén bao phim Flexilor 4 (4mg/1 viên)"
,x,meloxicam,"Viêm xương khớp, Viêm khớp dạng thấp, Viêm cột sống dính khớp, Đau khớp, Sưng khớp, Đau cơ xương khớp","Viên nén Mobic (7.5-15mg/1 viên), Viên nén Meloxicam Stada (7.5-15mg/1 viên), Dung dịch tiêm Meloxicam (15mg/1,5ml), Viên nén phân tán Ocemebic 15 (15mg/1 viên)"
,x,piroxicam,"Viêm xương khớp, Viêm khớp dạng thấp, Viêm cột sống dính khớp, Gout cấp tính, Đau cơ xương khớp, Viêm gân, Viêm bao hoạt dịch, Đau sau phẫu thuật, Đau bụng kinh","Viên nang Pimoint (20mg/1 viên), Viên nang Piroxicam Stada 20mg (20mg/1 viên), Dung dịch tiêm bắp Piroxicam Injection (20 mg/2 ml), Gel bôi da Loresid gel (0.1g/20g), Viên đạn đặt trực tràng Rixgina (20 mg/viên)"
,x,tenoxicam,"Viêm khớp dạng thấp, Viêm xương khớp, Viêm cột sống dính khớp, Viêm gân, Viêm bao hoạt dịch, Đau sau chấn thương, Đau sau phẫu thuật, Gout cấp","Viên nén Tenoxicam (20mg/1 viên), Viên nang cứng Tenonic (20mg/1 viên), Thuốc tiêm bột đông khô Tincocam (20mg/1 viên), Viên nén bao phim Tenonic(20mg/1 viên), Viên nén bao phim Tilcotil (20mg/1 viên)"
,x,eletriptan,"Đau nửa đầu cấp tính, Đau nửa đầu từng cơn","Viên nén Relpax (20-40mg/1 viên), viên nén Eletriptan Hydrobromide (20mg/viên)"
,x,oliceridine,Đau cấp tính đến nặng cần giảm đau opioid,thuốc tiêm tiêm Olinvyk (2mg/2 mL)
,x,oxycodone,"Đau vừa đến nặng, Đau mãn tính, Đau do ung thư, Đau sau phẫu thuật","Viên nén phóng thích kéo dài OxyContin (10-15-20-30-40mg-80mg), Viên nén Percocet (oxycodone 5mg/acetaminophen 325mg), Viên nén Roxicodone (5mg, 15mg, 30mg), Viên nang Oxynorm (5mg, 10mg, 20mg), Viên nén phóng thích kéo dài Targin (oxycodone 5mg/naloxone 2.5mg, 10mg/5mg, 20mg/10mg, 40mg/20mg)"
,x,tramadol,"Đau vừa đến đau nặng, Đau cấp tính, Đau mãn tính, Đau thần kinh, Đau xương khớp, Đau do ung thư","Viên nén Ultracet (Tramadol hydrochloride - 37,5mg/viên), Gramadol Capsules (Tramadol hydrochloride - 37,5mg/viên), Viên nén bao phim Zandol (Tramadol hydrochloride - 37,5mg/viên), Dung dịch tiêm Poltram 100 ( Tramadol hydrochloride 100mg/2ml )"
